Name,Gym,Weight,Rank,latitude,longitude
Diego Lopes,Lobo Gym MMA,Featherweight,12,20.57232357,-103.4527534
Irene Aldana,Lobo Gym MMA,Women's Bantamweight,4,20.57232357,-103.4527534
Loopy Godinez,Lobo Gym MMA,Women's Strawweight,10,20.57232357,-103.4527534
Michael Page,London Shootfighters,Welterweight,14,51.54491212,-0.27327704
Amanda Lemos,Marajo Brothers,Women's Strawweight,5,-1.466562892,-48.47542709
Anthony Hernandez,Marinoble's Martial Arts,Middleweight,14,38.71469121,-121.2885028
Mackenzie Dern,Megaton Dias BJJ,Women's Strawweight,7,33.5815987,-112.0119644
Anthony Smith,"Mick Doyle's Kickboxing - Omaha, NE",Light Heavyweight,11,41.29149244,-96.03178629
Tatiana Suarez,Millennia MMA,Women's Strawweight,1,34.100554,-117.545213
Serghei Spivac,MIR MMA,Heavyweight,9,55.90956056,37.86654874
Ciryl Gane,MMA Factory - Paris,Heavyweight,2,48.868455,2.283102
Colby Covington,MMA Masters,Welterweight,4,25.790915,-80.194434
Joaquin Buckley,Murcielago MMA,Welterweight,11,42.74688729,-84.54569025
Tracy Cortez,Neuro Force One,Women's Flyweight,12,33.63763562,-111.8847552
Paddy Pimblett,NEXT Generation MMA,Lightweight,15,53.41079426,-2.969278271
Tim Elliott,Next Generation MMA,Flyweight,10,36.75332584,-90.39557513
Jasmine Jasudavicius,Niagara Top Team,Women's Flyweight,14,43.669629,-79.386412
José Aldo,Nova Uniao,Bantamweight,8,-22.8132069,-43.57897
Ketlen Vieira,Nova Uniao,Women's Bantamweight,2,-22.8132069,-43.57897
Luana Pinheiro,Nova Uniao,Women's Strawweight,12,-22.8132069,-43.57897
Matheus Nicolau,Nova Uniao,Flyweight,8,-22.8132069,-43.57897
Julia Avila,Outsiders Combat Club,Women's Bantamweight,13,35.55000678,-97.51397044
Robert Whittaker,"PMA, Padstow NSW, Australia",Middleweight,3,-33.948677,151.029661
Jéssica Andrade,PRVT Para Vale Tudo,Women's Flyweight,6,-4.046127836,-53.1382861
Karol Rosa,PRVT Para Vale Tudo,Women's Bantamweight,8,-4.046127836,-53.1382861
Montel Jackson,Pura Vida BJJ & MMA,Bantamweight,15,43.09210279,-87.90633845
Erin Blanchfield,Renzo Gracie Academy,Women's Flyweight,3,40.74901844,-73.99337319
Katlyn Cerminara,Renzo Gracie Academy,Women's Flyweight,7,40.74901844,-73.99337319
Sean Brady,Renzo Gracie Philly,Welterweight,8,39.98535122,-75.13115046
Edson Barboza,Ricardo Almeida BJJ,Featherweight,15,40.2240597,-74.6073244
Jalin Turner,RVCA Training Center,Lightweight,13,33.63290011,-117.9382086
Marlon Vera,RVCA Training Center,Bantamweight,4,33.63290011,-117.9382086
Marcin Tybura,S4 Warszawa,Heavyweight,8,51.016884,21.116658
Alonzo Menifield,Saekson Muay Thai,Light Heavyweight,15,34.27203589,-118.7656579
Brendan Allen,Sanford MMA,Middleweight,7,26.32257487,-80.11193155
Gilbert Burns,Sanford MMA,Welterweight,6,26.32257487,-80.11193155
Michael Chandler,Sanford MMA,Lightweight,6,26.32257487,-80.11193155
